N,CPU_Time,GPU_Time
1024,0.000024,0.000137
2048,0.000047,0.000132
4096,0.000099,0.000157
8192,0.000400,0.000296
16384,0.000793,0.000342
32768,0.000793,0.000445
65536,0.001613,0.000818
131072,0.003398,0.001589
262144,0.006646,0.002795
524288,0.013904,0.004535
1048576,0.028412,0.008114
2097152,0.056492,0.015077
4194304,0.111800,0.029115
8388608,0.226221,0.057495
16777216,0.442751,0.115015
