N,CPU_Time,GPU_Time
10000,0.000372,0.000306
20000,0.000732,0.000051
40000,0.001466,0.000071
80000,0.003053,0.000144
160000,0.009199,0.000261
320000,0.015432,0.000458
640000,0.024703,0.000857
1280000,0.049154,0.001661
2560000,0.098147,0.003466
5120000,0.196753,0.006629
10240000,0.396133,0.013054
20480000,0.781443,0.025727
40960000,1.557166,0.051285
