N,CPU_Time,GPU_Time
256,0.011775,0.000546
512,0.046936,0.001080
768,0.106187,0.002438
1024,0.187642,0.004328
1280,0.292883,0.006729
1536,0.422645,0.009818
1792,0.574269,0.013366
2048,0.750009,0.017459
2304,0.952723,0.022387
2560,1.176864,0.027498
2816,1.417548,0.033260
3072,1.695132,0.039844
3328,2.009715,0.046752
3584,2.344720,0.054170
3840,2.655945,0.062166
4096,3.046018,0.070550
